"No.","Time","Source","Destination","Protocol","Length","Info"
"28437","646.926846536","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28438","646.926846591","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28439","646.927100340","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21913 Ack=2306712 Win=65536 Len=0"
"28440","646.927257599","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31195 Ack=3301076 Win=65536 Len=0"
"28441","646.927257743","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28442","646.927257800","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28443","646.927500533","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28444","646.927500692","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28445","646.927808698","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21952 Ack=2310890 Win=65536 Len=0"
"28446","646.928003301","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28447","646.928003402","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31234 Ack=3305254 Win=65536 Len=0"
"28448","646.928003434","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28449","646.928337666","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28450","646.928337851","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28451","646.928669109","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21991 Ack=2315068 Win=65536 Len=0"
"28452","646.928669263","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28453","646.929012554","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31273 Ack=3309432 Win=65536 Len=0"
"28454","646.929309398","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28455","646.929309528","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28456","646.929642130","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22030 Ack=2319246 Win=65536 Len=0"
"28457","646.929642263","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28458","646.929642317","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28459","646.929930237","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31312 Ack=3313610 Win=65536 Len=0"
"28460","646.929930432","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
